frame,k,outRe_hex,outIm_hex
20,2,000F,0000
20,3,000E,FFF1
20,4,FFFE,FFFF
20,5,FFE4,FFEC
20,6,FFF5,FFF0
20,7,0008,0008
20,8,FFFC,FFF5
20,9,0006,0022
20,10,FFEF,0000
20,11,0006,FFF5
20,12,FFFE,0001
20,13,001E,0014
20,14,FFF5,0010
20,15,000C,0012
21,0,FFFE,FFFE
21,1,0004,0000
21,2,FFE1,0000
21,3,0001,000D
21,4,FFAF,003B
21,5,FFF8,FFD8
21,6,0002,FFF7
21,7,0017,0008
21,8,FFFE,0002
21,9,002A,0002
21,10,FFCF,0000
21,11,0021,0001
21,12,0027,FFC5
21,13,FFDA,0028
21,14,0002,0009
21,15,000B,FFEA
22,0,FFF8,0008
22,1,0000,FFFC
22,2,FFC4,0000
22,3,0008,0019
22,4,FF60,0075
22,5,FFEB,FFAD
22,6,FFF6,FFEA
22,7,0037,0015
22,8,FFF8,FFF8
22,9,0054,000C
22,10,FF98,0000
22,11,004C,FFFF
22,12,004C,FF8B
22,13,FFC1,0053
22,14,FFF6,0016
22,15,001D,FFD3
23,0,FFF6,FFEF
23,1,FFFC,0000
23,2,FFA9,0000
23,3,FFEB,003D
23,4,FF91,0058
23,5,0033,FFE0
23,6,FFFF,0016
23,7,0026,FFFD
23,8,FFF6,0011
23,9,003E,FFBA
23,10,FFD5,0000
23,11,003F,001B
23,12,0043,FFA8
23,13,FF83,0020
23,14,FFFF,FFEA
23,15,0004,FFAB
24,0,000A,FFF1
24,1,FFFE,FFFC
24,2,003A,0000
24,3,FFD7,FFF6
24,4,00DC,FF5E
24,5,004E,0095
24,6,0015,003B
24,7,FFA3,FFD5
24,8,000A,000F
24,9,FF7C,FFB6
24,10,00B0,0000
24,11,FF8F,0016
24,12,FF9A,00A2
24,13,002A,FF6B
24,14,0015,FFC5
24,15,FFC3,001F
25,0,0019,0009
25,1,0003,0002
25,2,00D1,0000
25,3,000C,FF8A
25,4,01AF,FEB7
25,5,FFF6,00C9
25,6,000C,0017
25,7,FF6A,FFD3
25,8,0019,FFF7
25,9,FF0F,0036
25,10,00FF,0000
25,11,FF28,FFEA
25,12,FF1F,0149
25,13,0112,FF37
25,14,000C,FFE9
25,15,FFCA,00B9
26,0,FFFA,0016
26,1,0004,FFFE
26,2,008F,0000
26,3,0025,FFAA
26,4,00CC,FF65
26,5,FFB9,0016
26,6,FFE9,FFDE
26,7,FFDD,000D
26,8,FFFA,FFEA
26,9,FFBA,006C
26,10,004B,0000
26,11,FFC1,FFD6
26,12,FF98,009B
26,13,00B5,FFEA
26,14,FFE9,0022
26,15,0009,0073
27,0,FFF9,FFF9
27,1,0003,0000
27,2,0010,0000
27,3,FFFB,0003
27,4,002C,FFE2
27,5,0009,0005
27,6,0003,0005
27,7,FFFC,FFFD
27,8,FFF9,0007
27,9,FFFD,FFFA
27,10,001A,0000
27,11,FFFD,0003
27,12,FFF2,001E
27,13,0001,FFFB
27,14,0003,FFFB
27,15,FFFC,FFFD
28,0,000A,0003
28,1,0003,FFFD
28,2,0027,0000
28,3,0005,FFE3
28,4,0060,FFB7
28,5,FFFA,0035
28,6,0005,000A
28,7,FFDA,FFF1
28,8,000A,FFFD
28,9,FFC1,000B
28,10,003B,0000
28,11,FFC9,FFFD
28,12,FFD0,0049
28,13,0040,FFCB
28,14,0005,FFF6
28,15,FFF4,002F
29,0,0014,0038
29,1,0003,FFFF
29,2,FFED,0000
29,3,0057,FFBB
29,4,FEE9,00BA
29,5,FF3E,FF48
29,6,FFE1,FF8E
29,7,0058,0045
29,8,0014,FFC8
29,9,0073,00C7
29,10,FF09,0000
29,11,0059,FFBB
29,12,005F,FF46
29,13,0054,00B8
29,14,FFE1,0072
29,15,0058,0045
30,0,FFC0,001C
30,1,FFFF,FFFD
30,2,FE16,0000
30,3,004A,00D3
30,4,FB08,03B4
30,5,FF4F,FD45
30,6,FFBB,FF49
30,7,01CE,00B0
30,8,FFC0,FFE4
30,9,02CB,0061
30,10,FCA8,0000
30,11,0270,FFF1
30,12,0272,FC4C
30,13,FDDF,02BB
30,14,FFBB,00B7
30,15,00EC,FE8C
31,0,FF97,FFAA
31,1,FFE3,FFF6
31,2,FD19,0000
31,3,FF70,01FD
31,4,FB3F,03B5
31,5,0135,FE2A
31,6,FFF6,004B
31,7,0195,0027
31,8,FF97,0056
31,9,02B7,FE3A
31,10,FDAF,0000
31,11,027A,00BD
31,12,02AB,FC4B
31,13,FBDB,01D6
31,14,FFF6,FFB5
31,15,0055,FD1F
32,0,007A,FF60
32,1,FFF2,FFFE
32,2,00A4,0000
32,3,FEE1,0030
32,4,048B,FCAE
32,5,024E,03DC
32,6,00D8,01BC
32,7,FDC4,FEB2
32,8,007A,00A0
32,9,FCD4,FD90
32,10,041C,0000
32,11,FD4F,00D8
32,12,FDE9,0352
32,13,003A,FC24
32,14,00D8,FE44
32,15,FE6C,0046
33,0,0071,0092
33,1,0014,0007
33,2,04A0,0000
33,3,009B,FD1F
33,4,0868,F987
33,5,FEE0,037B
33,6,FFE0,FFF0
33,7,FD43,FF88
33,8,0071,FF6E
33,9,FB5A,021D
33,10,0480,0000
33,11,FBE1,FF15
33,12,FB78,0679
33,13,0656,FC85
33,14,FFE0,0010
33,15,FF39,0444
34,0,FFC3,0070
34,1,000D,FFFE
34,2,0199,0000
34,3,00D3,FEF3
34,4,0110,FF2B
34,5,FE6C,FEE5
34,6,FF77,FEF8
34,7,0060,0099
34,8,FFC3,FF90
34,9,0051,021E
34,10,FF89,0000
34,11,0031,FF37
34,12,FF68,00D5
34,13,0218,011B
34,14,FF77,0108
34,15,00A4,013D
35,0,FFD6,FF66
35,1,FFFC,0004
35,2,FEF9,0000
35,3,FF6B,0114
35,4,FF7A,0095
35,5,013F,0009
35,6,0053,009A
35,7,0039,FFB9
35,8,FFD6,009A
35,9,009A,FE72
35,10,002D,0000
35,11,008F,009C
35,12,00A6,FF6B
35,13,FDEB,FFF7
35,14,0053,FF66
35,15,FFC1,FE97
36,0,0067,002B
36,1,000A,FFFF
36,2,01A4,0000
36,3,0003,FEE2
36,4,038C,FD3A
36,5,FFE8,0228
36,6,0031,0055
36,7,FE73,FF8D
36,8,0067,FFD5
36,9,FD84,0059
36,10,024E,0000
36,11,FDCF,FFCE
36,12,FE02,02C6
36,13,0274,FDD8
36,14,0031,FFAB
36,15,FF5F,01C3
37,0,FFEA,0089
37,1,0015,0003
37,2,0092,0000
37,3,00F4,FF18
37,4,FEA3,00E4
37,5,FDFA,FE39
37,6,FF80,FEC8
37,7,00D0,00C3
37,8,FFEA,FF77
37,9,00FB,0245
37,10,FE22,0000
37,11,00C2,FF2E
37,12,006D,FF1C
37,13,016A,01C7
37,14,FF80,0138
37,15,00E6,00F7
38,0,FFAE,0044
38,1,0001,FFFB
38,2,FC20,0000
38,3,00B1,017D
38,4,F5A4,07AA
38,5,FE56,FA72
38,6,FF89,FE73
38,7,039C,016D
38,8,FFAE,FFBC
38,9,0597,0101
38,10,F906,0000
38,11,04D3,FFC9
38,12,04FA,F856
38,13,FBEA,058E
38,14,FF89,018D
38,15,01E8,FD4D
39,0,FEE5,FF9E
39,1,FFC2,FFE9
39,2,F93D,0000
39,3,FF21,047A
39,4,F338,09CE
39,5,01C3,FA47
39,6,FF88,FFE5
39,7,047C,00E0
39,8,FEE5,0062
39,9,076E,FD01
39,10,F907,0000
39,11,06B5,0158
39,12,06D6,F632
39,13,F68B,05B9
39,14,FF88,001B
39,15,015A,F94E
40,0,012F,FE24
40,1,FFCB,FFE2
40,2,FFE4,0000
40,3,FCDD,0172
40,4,07F5,FA47
40,5,05F7,084E
40,6,025D,0453
40,7,FB6B,FD1B
40,8,012F,01DC
40,9,F9D5,F92C
40,10,088A,0000
40,11,FAD3,024C
40,12,FC85,05B9
40,13,FE13,F7B2
40,14,025D,FBAD
40,15,FC45,FF27
41,0,00C1,0163
41,1,004A,0045
41,2,09ED,0000
41,3,01BD,F989
41,4,1175,F27C
41,5,FD12,06FC
41,6,FF7B,FF80
41,7,FA5C,FF15
41,8,00C1,FE9D
41,9,F646,0539
41,10,08ED,0000
41,11,F74F,FDDD
41,12,F66F,0D84
41,13,0E2A,F904
41,14,FF7B,0080
41,15,FEB0,0985
42,0,FF80,0116
42,1,0021,FFED
42,2,022A,0000
42,3,0210,FE13
42,4,FE95,00EC
42,5,FBC3,FBB4
42,6,FEB2,FD2C
42,7,0201,01DD
42,8,FF80,FEEA
42,9,0287,051F
42,10,FC82,0000
42,11,01FC,FE1D
42,12,006F,FF14
42,13,034B,044C
42,14,FEB2,02D4
42,15,020B,01F3
43,0,FF22,FEE5
43,1,FFEF,FFF1
43,2,FAA1,0000
43,3,FEDC,03F4
43,4,F754,06EB
43,5,0239,FC2D
43,6,0041,007E
43,7,032D,005C
43,8,FF22,011B
43,9,058F,FC91
43,10,FB9D,0000
43,11,04F8,016E
43,12,052C,F915
43,13,F79F,03D3
43,14,0041,FF82
43,15,00A7,FA42
44,0,00A9,FF8E
44,1,FFED,0004
44,2,0094,0000
44,3,FEC8,0009
44,4,04E7,FC4D
44,5,0299,04C3
44,6,00D5,020F
