frame,k,outRe_hex,outIm_hex
25,5,539C,0683
25,6,3B7B,FB76
25,7,4798,4291
25,8,4005,0000
25,9,4798,BD6F
25,10,3B7B,048A
25,11,539C,F97D
25,12,4005,8000
25,13,3FC4,6627
25,14,C48F,848A
25,15,251C,2A19
26,0,400A,0000
26,1,C112,6F2D
26,2,A6D9,5931
26,3,0DFB,8774
26,4,000A,4000
26,5,6663,932A
26,6,D93B,D931
26,7,CAB8,7AE3
26,8,C00A,0000
26,9,CAB8,851D
26,10,D93B,26CF
26,11,6663,6CD6
26,12,000A,C000
26,13,0DFB,788C
26,14,A6D9,A6CF
26,15,C112,90D3
27,0,4003,0000
27,1,4ABB,53E8
27,2,3507,8AFC
27,3,17DB,AD26
27,4,C003,0000
27,5,A3A1,F1B0
27,6,CAFF,0AFC
27,7,F9D5,9872
27,8,4003,0000
27,9,F9D5,678E
27,10,CAFF,F504
27,11,A3A1,0E50
27,12,C003,0000
27,13,17DB,52DA
27,14,3507,7504
27,15,4ABB,AC18
28,0,8000,0000
28,1,E399,5B26
28,2,AD41,92BF
28,3,8C22,DDD1
28,4,C000,C000
28,5,6458,ED57
28,6,52BF,12BF
28,7,2BED,6AAC
28,8,0000,0000
28,9,2BED,9554
28,10,52BF,ED41
28,11,6458,12A9
28,12,C000,4000
28,13,8C22,222F
28,14,AD41,6D41
28,15,E399,A4DA
29,0,4002,0000
29,1,986D,FBAA
29,2,07C5,783D
29,3,4EA0,FC17
29,4,0002,4000
29,5,B7D6,75A5
29,6,783F,F83D
29,7,6125,7538
29,8,C002,0000
29,9,6125,8AC8
29,10,783F,07C3
29,11,B7D6,8A5B
29,12,0002,C000
29,13,4EA0,03E9
29,14,07C5,87C3
29,15,986D,0456
30,0,FFFB,0000
30,1,F39F,F643
30,2,0E30,31CB
30,3,5B6A,FE38
30,4,3FFB,C000
30,5,1A4A,887A
30,6,F1C6,B1CB
30,7,9699,8085
30,8,7FFB,0000
30,9,9699,7F7B
30,10,F1C6,4E35
30,11,1A4A,7786
30,12,3FFB,4000
30,13,5B6A,01C8
30,14,0E30,CE35
30,15,F39F,09BD
31,0,FFE3,0000
31,1,8453,B0F7
31,2,70F4,4EEF
31,3,7296,EB4E
31,4,BFE3,C000
31,5,FDF0,FA8E
31,6,0ED2,4EEF
