frame,k,outRe_hex,outIm_hex
64,9,003F,0008
64,10,0035,0021
64,11,003C,002A
64,12,0027,002F
64,13,000B,0025
64,14,FEDE,FEC9
64,15,070E,061F
65,0,DDB7,0000
65,1,1105,FFD8
65,2,FEB5,0014
65,3,FFD6,FFD2
65,4,0008,FFCD
65,5,0011,FFE3
65,6,0028,FFE6
65,7,001D,FFF9
65,8,0025,0000
65,9,001D,0006
65,10,0029,001A
65,11,0012,001C
65,12,0008,0033
65,13,FFD9,002F
65,14,FEB6,FFEC
65,15,1107,0029
66,0,DCA7,0000
66,1,137E,0831
66,2,FD29,0020
66,3,FF94,FFA8
66,4,FFC7,0042
66,5,FFAB,0033
66,6,FFB6,0026
66,7,FF9B,0011
66,8,FFA3,0000
66,9,FF9C,FFEF
66,10,FFB7,FFDA
66,11,FFAC,FFCC
66,12,FFC7,FFBE
66,13,FF97,0059
66,14,FD2A,FFE0
66,15,1381,F7CF
67,0,21E4,0000
67,1,E779,1439
67,2,0628,F95E
67,3,FFF8,008C
67,4,FFA4,0046
67,5,FFB2,004B
67,6,FF8F,0032
67,7,FF92,0009
67,8,FF94,0000
67,9,FF93,FFF7
67,10,FF90,FFCE
67,11,FFB2,FFB4
67,12,FFA4,FFBA
67,13,FFFA,FF75
67,14,0629,06A2
67,15,E77C,EBC7
68,0,273D,0000
68,1,EF76,E7D1
68,2,FEEE,077C
68,3,007E,FFFD
68,4,0060,FFD5
68,5,0028,FFB6
68,6,0059,0004
68,7,004D,FFE6
68,8,004B,0000
68,9,004E,0019
68,10,005A,FFFC
68,11,0028,0049
68,12,0060,002B
68,13,0080,0004
68,14,FEEF,F884
68,15,EF79,1830
69,0,F2CD,0000
69,1,09C7,FF8C
69,2,FEE2,FE95
69,3,FFCF,FFDB
69,4,001E,FFDF
69,5,0042,FFF8
69,6,0039,FFE5
69,7,0040,FFF6
69,8,0037,0000
69,9,0041,000A
69,10,003A,001B
69,11,0043,0007
69,12,001E,0021
69,13,FFD2,0026
69,14,FEE3,016B
69,15,09CA,0074
70,0,FD8C,0000
70,1,00BC,07BA
70,2,FFB7,FDA4
70,3,0015,0032
70,4,FFE3,001F
70,5,FFDB,0021
70,6,FFCC,000A
70,7,FFD5,000E
70,8,FFCE,0000
70,9,FFD6,FFF2
70,10,FFCD,FFF6
70,11,FFDB,FFDE
70,12,FFE3,FFE1
70,13,0017,FFCF
70,14,FFB8,025C
70,15,00BF,F846
71,0,0FBC,0000
71,1,F780,FD58
71,2,00A2,01DE
71,3,0019,FFED
71,4,0000,0014
71,5,FFEB,0008
71,6,FFEB,0008
71,7,FFE9,0007
71,8,FFE8,0000
71,9,FFEA,FFF8
71,10,FFEC,FFF8
71,11,FFEB,FFF7
71,12,0000,FFEC
71,13,001B,0014
71,14,00A3,FE22
71,15,F783,02A9
72,0,0BC7,0000
72,1,F92D,FD64
72,2,01A7,FFB3
72,3,FFFD,0001
72,4,0017,FFEA
72,5,0027,FFE8
72,6,002E,FFEB
72,7,0025,FFF8
72,8,002F,0000
72,9,0025,0008
72,10,002F,0015
72,11,0027,0017
72,12,0017,0016
72,13,FFFF,0000
72,14,01A8,004D
72,15,F92F,029C
73,0,EFCC,0000
73,1,09BA,F737
73,2,FE65,01F9
73,3,0001,FFE9
73,4,0026,FFBC
73,5,0040,FFD0
73,6,0048,FFDF
73,7,0049,FFEA
73,8,004C,0000
73,9,004A,0015
73,10,0049,0021
73,11,0041,002F
73,12,0026,0044
73,13,0004,0018
73,14,FE66,FE07
73,15,09BD,08CA
74,0,D552,0000
74,1,157F,02EC
74,2,FE20,FEF9
74,3,FFE5,FFCC
74,4,FFEE,FFE8
