frame,k,outRe_hex,outIm_hex
24,12,FFFB,FFFE
24,13,0001,FFFC
24,14,0019,001E
24,15,FEFB,FF6E
25,0,03A3,0000
25,1,FE1A,FF94
25,2,0036,0014
25,3,0002,FFFF
25,4,0002,0003
25,5,0004,FFFB
25,6,FFFC,0002
25,7,0004,0000
25,8,FFFD,0000
25,9,0004,0000
25,10,FFFC,FFFE
25,11,0004,0005
25,12,0002,FFFD
25,13,0002,0001
25,14,0036,FFEC
25,15,FE1A,006C
26,0,01B0,0000
26,1,FF71,FF27
26,2,FFED,0029
26,3,0004,FFFD
26,4,0006,FFFC
26,5,0003,0001
26,6,0007,FFFD
26,7,0003,FFFF
26,8,0004,0000
26,9,0003,0001
26,10,0007,0003
26,11,0004,FFFF
26,12,0006,0004
26,13,0005,0003
26,14,FFED,FFD7
26,15,FF71,00D9
27,0,0053,0000
27,1,FFF8,000D
27,2,FFF4,FFEE
27,3,0002,0000
27,4,FFFC,FFFF
27,5,0004,0000
27,6,FFFE,FFFC
27,7,0001,0001
27,8,0001,0000
27,9,0000,FFFF
27,10,FFFE,0004
27,11,0004,0000
27,12,FFFC,0001
27,13,0004,0000
27,14,FFF4,0012
27,15,FFF9,FFF3
28,0,00CD,0000
28,1,FF81,FFEB
28,2,0011,0002
28,3,0005,FFF6
28,4,FFFD,0004
28,5,0001,FFFC
28,6,0003,FFFC
28,7,0001,0001
28,8,0001,0000
28,9,0001,FFFF
28,10,0003,0004
28,11,0001,0004
28,12,FFFD,FFFC
28,13,0005,000A
28,14,0011,FFFE
28,15,FF81,0015
29,0,FDE0,0000
29,1,00D6,FE6D
29,2,0019,0067
29,3,FFFA,FFF3
29,4,0004,FFF2
29,5,000C,FFF5
29,6,000F,FFF7
29,7,0010,FFFB
29,8,0010,0000
29,9,0010,0005
29,10,000F,0009
29,11,000C,000B
29,12,0004,000E
29,13,FFFA,000D
29,14,0019,FF99
29,15,00D6,0193
30,0,F575,0000
30,1,058C,FF3B
30,2,FF75,0031
30,3,FFF2,FFED
30,4,0002,FFF5
30,5,000C,FFF3
30,6,000B,FFF9
30,7,000A,FFFD
30,8,000F,0000
30,9,000A,0003
30,10,000B,0007
30,11,000C,000D
30,12,0002,000B
30,13,FFF2,0013
30,14,FF75,FFCF
30,15,058C,00C5
31,0,F5A2,0000
31,1,0585,038F
31,2,FF42,FF63
31,3,FFE3,FFF4
31,4,FFF5,0019
31,5,FFE2,0008
31,6,FFEC,000F
31,7,FFE9,0003
31,8,FFE0,0000
31,9,FFE9,FFFD
31,10,FFEC,FFF1
31,11,FFE3,FFF8
